,para,dates,para_lemma,len,year,avg_year,num_years,year_25group,year_50group
0,"Bearing witness to this shocking act of brutality was twenty-two-year-old colonel George Washington, entrusted by the colonial Virginia legislature to lead a military expedition to the strategically critical Forks of the Ohio, meeting point of the Allegheny, Monongahela, and Ohio Rivers, in order to blunt further French encroachment on lands claimed by Virginia. The expedition had departed from Alexandria, Virginia, in early May 1754, marching through the dense forests of the mountains of western Maryland and Pennsylvania along an Indian path known as Nemacolin’s Trail in honor of the Delaware chief said to be its originator. Washington encamped at a clearing in southwestern Pennsylvania known as Great Meadows, a small island of open space in a vast ocean of forest. There he rendezvoused with Tanaghrisson, whom he first had met on an expedition to the Ohio Country the previous November. On that journey Washington had warned the French – who had recently evicted a small British force from the forks of the Ohio and who had begun construction of an outpost on that spot they would name Fort Duquesne – against remaining in the Ohio Country. Returning the following spring, he had enlisted Tanaghrisson – an ambitious Seneca leader of dubious authority – and his followers in a campaign against the French.","['twenty-two-year-old', 'early May 1754', 'the previous November', '–']",bear witness shocking act brutality year old colonel george washington entrust colonial virginia legislature lead military expedition strategically critical fork ohio meeting point allegheny monongahela ohio river order blunt french encroachment land claim virginia expedition depart alexandria virginia early 1754 march dense forest mountain western maryland pennsylvania indian path know nemacolin ’s trail honor delaware chief say originator washington encamp clearing southwestern pennsylvania know great meadow small island open space vast ocean forest rendezvous tanaghrisson meet expedition ohio country previous november journey washington warn french – recently evict small british force fork ohio begin construction outpost spot fort duquesne – remain ohio country return follow spring enlist tanaghrisson – ambitious seneca leader dubious authority – follower campaign french,118,[1754],1754,1,1775,1800
1,"Washington had a personal as well as patriotic interest in wresting the Ohio Country from the French and their Indian allies. After his brother Lawrence’s early death in 1752, Washington had inherited a substantial share of the Ohio Company, a joint stock company of elite Northern Virginia gentry who saw in the western country the next great speculative real estate bonanza. These men, among them Virginia lieutenant governor William Dinwiddie, had been agitating London for some time to assert more strongly Virginia’s claim to the Ohio Country, only one part of a more than half-century-long confrontation between Britain and France for imperial control of North America. Washington’s own claim to Virginia’s western lands, which he had received from his late brother, was itself based on a 1609 document extending the colony’s reach westward to the South Sea, and north and west to the Great Lakes and beyond.1 Washington had mapped and surveyed the Ohio Country for the shareholders at age sixteen, taking care to note for future personal reference what constituted its most valuable lands. As a young and physically robust member of the Virginia gentry, Washington was a natural participant in the imperial thrust west.","['1752', 'age sixteen']",washington personal patriotic interest wrest ohio country french indian ally brother lawrence ’s early death 1752 washington inherit substantial share ohio company joint stock company elite northern virginia gentry see western country great speculative real estate bonanza man virginia lieutenant governor william dinwiddie agitate london time assert strongly virginia ’s claim ohio country half century long confrontation britain france imperial control north america washington ’s claim virginia ’s western land receive late brother base 1609 document extend colony ’s reach westward south sea north west great lake beyond.1 washington map survey ohio country shareholder age sixteen take care note future personal reference constitute valuable land young physically robust member virginia gentry washington natural participant imperial thrust west,117,[1752],1752,1,1775,1800
2,"Although Washington eagerly sought new wealth in the western lands, he hardly was impoverished before that endeavor. He had inherited approximately two hundred slaves and ten thousand acres of land in Virginia along the Potomac River after his father’s death in 1743. Yet the diminished fertility of the soil, exhausted by a century of tobacco cultivation, meant that Washington would need to find new sources of wealth if he hoped to realize his ambition to rise to the top of the Virginia economic and cultural elite. The defeat of the French and Indians in the name of Virginia and the British Empire would redound immensely to his personal benefit. Like his late father and brother, Washington saw military service, notwithstanding its hazards, as the surest path to political and economic success.","['1743', 'a century']",washington eagerly seek new wealth western land hardly impoverished endeavor inherit approximately slave thousand acre land virginia potomac river father ’s death 1743 diminished fertility soil exhaust century tobacco cultivation mean washington need find new source wealth hop realize ambition rise virginia economic cultural elite defeat french indians virginia british empire redound immensely personal benefit like late father brother washington see military service notwithstanding hazard sure path political economic success,70,[1743],1743,1,1750,1750
3,"Knowing that the attack on Lieutenant Jumonville’s force would generate a strong response, Washington and his force dug in at Great Meadows. There he ordered his men to build a small stockade, which he named Fort Necessity, chiefly as protection for his gunpowder supplies. Refusing to assume a position exposed to enemy fire from the surrounding forest, Tanaghrisson and his followers soon departed, leaving Washington and several dozen largely inexperienced Virginia conscripts to confront a few French-Canadians and a much larger number of their Native American allies. On July 3 the enemy attacked, hiding behind the trees as they fired down on Washington’s troops, who made easy targets in the shallow rifle pits surrounding the stockade. Making matters worse, rising streams from torrential summer rains soon flooded the low-lying fort and its trenches, making the soldiers’ flintlock muskets inoperable and resistance thereby impossible. After the deaths of about thirty of his men, Washington surrendered on July 3, 1754. In the aftermath, the French commander (and brother of the slain Jumonville) graciously spared Washington’s life, allowing him and his men to return to Virginia after Washington signed a confession acknowledging his responsibility for the “assassination” of Jumonville and swearing never to return.","['July 3', 'torrential summer', 'July 3, 1754']",know attack lieutenant jumonville ’s force generate strong response washington force dig great meadow order man build small stockade name fort necessity chiefly protection gunpowder supply refuse assume position expose enemy fire surround forest tanaghrisson follower soon depart leave washington dozen largely inexperienced virginia conscript confront french canadians large number native ally july 3 enemy attack hide tree fire washington ’s troop easy target shallow rifle pit surround stockade make matter bad rise stream torrential summer rain soon flood low lie fort trench make soldiers’ flintlock musket inoperable resistance impossible death thirty man washington surrender july 3 1754 aftermath french commander brother slay jumonville graciously spar washington ’s life allow man return virginia washington sign confession acknowledge responsibility “ assassination ” jumonville swear return,124,[1754],1754,1,1775,1800
4," George Washington’s botched mission to western Pennsylvania provided the spark that reignited the Anglo-French-Indian war in North America, which by 1756 had become a global conflagration known internationally as the Great War for the Empire. By any measure, it was an inauspicious beginning to a military career. Through his experience with Tanaghrisson he had learned of the hazards of entangling alliances. In spite of his failure, Washington emerged from the incident with undiminished confidence in his abilities. In a letter to his brother Jack, he wrote of the assault on Fort Necessity in rapturous terms, noting that he had “heard bulletts [sic] whistle … and there was something charming in the sound.”2 Paradoxically, Washington’s reputation soared in the wake of the failed expedition, thanks in large part to the publication in June 1754 of a stirring memoir of his trip to the Ohio Country the previous winter. Washington later repudiated his signed confession to the execution of Jumonville, blaming his interpreter for a faulty translation of the French in the original document.","['1756', 'June 1754', 'the previous winter']",george washington ’s botched mission western pennsylvania provide spark reignite anglo french indian war north america 1756 global conflagration know internationally great war empire measure inauspicious beginning military career experience tanaghrisson learn hazard entangle alliance spite failure washington emerge incident undiminished confidence ability letter brother jack write assault fort necessity rapturous term note “ hear bullett sic whistle … charming sound.”2 paradoxically washington ’s reputation soar wake fail expedition thank large publication june 1754 stirring memoir trip ohio country previous winter washington later repudiate sign confession execution jumonville blame interpreter faulty translation french original document,95,"[1756, 1754]",1755,2,1775,1800
5,"The defeat of the Virginia regiment on the Ohio frontier provoked a strong response from the British government. It had desired to reescalate the ongoing war with France, and yet the humiliation of the Virginians seemed to require a strong response lest the power and prestige of the whole British Empire be called into question. At the instigation of the duke of Cumberland – son of George II and architect of the scorched earth policy that had laid waste to Scotland after the defeat of Bonnie Prince Charlie and his Scots rebels at Culloden in 1742 – an imposing invasion force was gathered. In May 1755, General Edward Braddock and two regiments of the elite Coldstream Guards marched into a newly constructed stockade built on a bluff on the Potomac River near Will’s Creek that Braddock named Fort Cumberland, in honor of his patron the duke of Cumberland. There Braddock and his troops, aided by colonial militias and Native American allies, prepared for an assault on the French forces and their Native American allies at Fort Duquesne, about one hundred miles to the west. Brushing off the failures of the Virginia militiamen, British officials confidently expected that a few French soldiers and their Indian allies would be no match for battle-hardened British regular troops.","['1742 –', 'May 1755']",defeat virginia regiment ohio frontier provoke strong response british government desire reescalate ongoing war france humiliation virginians require strong response lest power prestige british empire call question instigation duke cumberland – son george ii architect scorched earth policy lay waste scotland defeat bonnie prince charlie scots rebel culloden 1742 – impose invasion force gather 1755 general edward braddock regiment elite coldstream guard march newly construct stockade build bluff potomac river near ’s creek braddock name fort cumberland honor patron duke cumberland braddock troop aid colonial militia native ally prepare assault french force native ally fort duquesne mile west brush failure virginia militiaman british official confidently expect french soldier indian ally match battle harden british regular troop,116,"[1742, 1755]",1748,2,1750,1750
6,"Washington eagerly embraced another attempt to expand the Anglo-American Empire into the Ohio Country, notwithstanding his signed pledge not to return there. He had a substantial personal stake in the outcome of the battle to control the region. He envisioned an all-water route to Ohio via the Potomac River, conveniently passing by his Virginia estate at Alexandria, which he anticipated would become a key entrepôt for goods moving both upriver and down. Later in life he would become a vigorous proponent of the construction of the Chesapeake and Ohio Canal, a waterway running parallel to the Potomac River designed to transport goods upriver in the days before steam power. (Remnants of that canal survive today, repurposed as a hiking and walking trail.) Washington speculated in western lands, eventually owning more than sixty thousand acres west of the mountains, making him one of the largest absentee landowners of his time.3 He keenly understood that “[l]and is the most permanent estate and the most likely to increase in value.”4Thus in 1755 he joined Braddock’s expedition as an adjutant and guide, anticipating the advantages a successful expansionist thrust west would give to the British Empire, his home colony of Virginia, and to his own personal reputation and fortune. In this regard, Fred Anderson notes that Washington was “an advocate of empire long before he became the hero of a revolution.”5","['the days', 'today', '1755']",washington eagerly embrace attempt expand anglo empire ohio country notwithstanding sign pledge return substantial personal stake outcome battle control region envision water route ohio potomac river conveniently pass virginia estate alexandria anticipate key entrepôt good move upriver later life vigorous proponent construction chesapeake ohio canal waterway run parallel potomac river design transport good upriver day steam power remnant canal survive today repurpos hiking walking trail washington speculate western land eventually own thousand acre west mountain make large absentee landowner time.3 keenly understand “ l]and permanent estate likely increase value.”4thus 1755 join braddock ’s expedition adjutant guide anticipate advantage successful expansionist thrust west british empire home colony virginia personal reputation fortune regard fred anderson note washington “ advocate empire long hero revolution.”5,121,[1755],1755,1,1775,1800
7,"Joining Washington in Braddock’s imperial enterprise was Benjamin Franklin, marking the first time that the trajectories of the two men crossed. Like Washington, Franklin was a zealous imperialist who aimed to remove the Native American and French enemies blocking the migration of Pennsylvanians, Virginians, New Yorkers, and other Anglo-Americans into the seemingly limitless territories west of the Appalachian Mountains. Since the late 1740s Franklin had devoted a substantial portion of his considerable energies to the cause of colonial union, which he believed essential for westward expansion, colonial security, colonial prosperity, and his own speculative success in western lands. The previous summer at Albany he had almost single-handedly turned a congress of northern colonies aimed at strengthening the fraying Anglo-American alliance with the Six Nations of the Iroquois confederacy into a de facto constitutional convention, securing passage of a colonial Plan of Union that created a central governing authority with the power to tax and entrusted with handling expansion and security concerns. The congregants resolved unanimously “[t]hat an [sic] union of the colonies is absolutely necessary for their preservation.”6 Yet the colonial legislatures, lacking the looming threat of Indian attacks that had helped to spur passage of the plan in Albany, were much less eager to join a colonial union. The absence of an immediate security threat, combined with intracolonial rivalries and a zealous determination of local elites not to give up one iota of local autonomy to a distant central government, doomed the plan to defeat. Indeed, in most of the colonies it was never formally considered. In London, where Franklin hoped that Parliament would impose the plan of union on the colonists, the scheme was received skeptically and quietly shelved. Long-standing British fears of creating a colonial union that might someday slip the leash of imperial control prevented consideration of what might have been a transformative move for the history of the British Empire.","['the late 1740s', 'The previous summer']",join washington braddock ’s imperial enterprise benjamin franklin mark time trajectory man cross like washington franklin zealous imperialist aim remove native french enemy block migration pennsylvanian virginian new yorker anglo american seemingly limitless territory west appalachian mountain late 1740 franklin devote substantial portion considerable energy because colonial union believe essential westward expansion colonial security colonial prosperity speculative success western land previous summer albany single handedly turn congress northern colony aim strengthen fray anglo alliance nation iroquois confederacy de facto constitutional convention secure passage colonial plan union create central governing authority power tax entrust handle expansion security concern congregant resolve unanimously “ t]hat sic union colony absolutely necessary preservation.”6 colonial legislature lack loom threat indian attack help spur passage plan albany eager join colonial union absence immediate security threat combine intracolonial rivalry zealous determination local elite iota local autonomy distant central government doom plan defeat colony formally consider london franklin hop parliament impose plan union colonist scheme receive skeptically quietly shelve long stand british fear create colonial union someday slip leash imperial control prevent consideration transformative history british empire,178,[1740],1740,1,1750,1750
8,"Rejection by both colonial legislatures and by Parliament did not quash Franklin’s dream of union. He had first conceived of it in the 1740s. After making himself independently wealthy via his various printing and publishing enterprises, Franklin retired from active participation in private business and devoted himself to two main tasks: first, gaining a better understanding of the mysterious force known as electricity and, second, facilitating the expansion of British North America west of the Appalachian Mountains. In a series of published works, Franklin began to evolve a powerful vision regarding the future both of the North American colonies and of the British Empire. He first gave expression to this vision in “Plain Truth, or Serious Considerations on the Present State of the City of Philadelphia and Province of Pennsylvania” (1747). In it, he voiced concerns that Philadelphia was isolated and vulnerable to attack. The solution was for the colonies to unite for common defense. “At present we are like the separate Filaments of Flax before the Thread is form’d, without Strength, because without Connection; but UNION would make us strong, and even formidable.”7","['the 1740s', '1747']",rejection colonial legislature parliament quash franklin ’s dream union conceive 1740s make independently wealthy printing publishing enterprise franklin retire active participation private business devote main task gain good understanding mysterious force know electricity second facilitate expansion british north america west appalachian mountain series publish work franklin begin evolve powerful vision future north colony british empire give expression vision “ plain truth consideration present state city philadelphia province pennsylvania ” 1747 voice concern philadelphia isolate vulnerable attack solution colony unite common defense “ present like separate filament flax thread form’d strength connection union strong formidable.”7,94,"[1740, 1747]",1744,2,1750,1750
9,"A more famous statement of his vision appeared in “Observations Concerning the Increase of Mankind,” written in 1751 but not published until 1754. In it, he imagined the British North American colonies formed into one imposing union along a rapidly expanding western frontier. Franklin’s awareness of the opportunities available as a result of North America’s favorable geography is at the heart of his argument. The abundance of land and other forms of economic opportunity in North America would lead to the proliferation of large families and a consequent doubling of the population approximately every twenty years, something Franklin termed “the American multiplication table.” Access to the lands west of the mountains and the limitless opportunity it represented would result in earlier marriages and larger families than was the case in England, where a shortage of tillable soil limited growth. Only with sufficient living room could the prosperity of the coastal regions be maintained and extended. Franklin conceived a vision of a fast-growing, rapidly expanding domain that would be the embodiment of human freedom, political justice, and material progress. “Observations on the Increase of Mankind” remains, in the words of Gerald Stourzh, “the first conscious and comprehensive formulation of ‘Manifest Destiny.’”8","['1751', '1754', 'approximately every twenty years']",famous statement vision appear “ observation concern increase mankind ” write 1751 publish 1754 imagine british north colony form impose union rapidly expand western frontier franklin ’s awareness opportunity available result north america ’s favorable geography heart argument abundance land form economic opportunity north america lead proliferation large family consequent doubling population approximately year franklin term “ multiplication table ” access land west mountain limitless opportunity represent result early marriage large family case england shortage tillable soil limited growth sufficient living room prosperity coastal region maintain extend franklin conceive vision fast grow rapidly expand domain embodiment human freedom political justice material progress “ observation increase mankind ” remain word gerald stourzh “ conscious comprehensive formulation ‘ manifest destiny.’”8,118,"[1751, 1754]",1752,2,1775,1800
